account_id,account_name,tier,tier_reason,scope_status,routed_to,industry,revenue_musd,parent_company,city,zip,membership_status,last_reviewed
001a700000HLX7IAAX,Achievers,,Tiering deferred pending scope resolution,duplicate-record,merge into: Achievers LLC,,,Achievers Solutions Inc.,,,never,2026-08-13
0014y0000255ClhAAE,Achievers Llc,,Tiering deferred pending scope resolution,duplicate-record,merge into: Achievers LLC,,,Achievers Solutions Inc.,,,never,2026-08-13
0014y00002rShuVAAS,Achievers Solutions Inc.,,Tiering deferred pending scope resolution,duplicate-record,merge into: Achievers LLC,,,,,,never,2026-08-13
0014000000VAODkAAP,Advantest America R&D Center Inc,,Tiering deferred pending scope resolution,duplicate-record,"merge into: Advantest Test Solutions, Inc.",,,Advantest Corporation,,,lapsed,2026-08-13
001a7000001JuELAA0,Affinity,,Tiering deferred pending scope resolution,duplicate-record,merge into: Affinity,,,,,,never,2026-08-13
0014y00002vMkwXAAS,AppDirecte Canada Inc,,Tiering deferred pending scope resolution,duplicate-record,merge into: AppDirect,,,AppDirect,,,never,2026-08-13
0014000000VAPDDAA5,California Casualty Management Company,,Tiering deferred pending scope resolution,duplicate-record,merge into: California Casualty,,,California Casualty,,,lapsed,2026-08-13
001f3000021hvPDAAY,Doma,,Tiering deferred pending scope resolution,duplicate-record,"merge into: Doma Holdings, Inc.",,,Title Resources Group,,,never,2026-08-13
0014y00002jRhh0AAC,Doma,,Tiering deferred pending scope resolution,duplicate-record,"merge into: Doma Holdings, Inc.",,,Title Resources Group,,,never,2026-08-13
0014y00002rSjKzAAK,"Doma Title Insurance, Inc.",,Tiering deferred pending scope resolution,duplicate-record,"merge into: Doma Holdings, Inc.",,,Title Resources Group,,,never,2026-08-13
001f300001v8yNxAAI,Eaze,,Tiering deferred pending scope resolution,duplicate-record,"merge into: Eaze, Inc.",,,Vireo Growth Inc.,,,never,2026-08-13
001a700000nFDVUAA4,Enable,,Tiering deferred pending scope resolution,duplicate-record,merge into: Enable,,,,,,never,2026-08-13
0013300001iPW5VAAW,Enterprise Jbilling Ltd,,Tiering deferred pending scope resolution,duplicate-record,merge into: AppDirect,,,AppDirect,,,never,2026-08-13
001a700000QuqBRAAZ,Go1,,Tiering deferred pending scope resolution,duplicate-record,merge into: Go1 USA LLC,,,,,,never,2026-08-13
001a700000eycrbAAA,Jerry,,Tiering deferred pending scope resolution,duplicate-record,merge into: Jerry,,,,,,never,2026-08-13
0014y00002ihRBEAA2,Juniper Square Inc.,,Tiering deferred pending scope resolution,duplicate-record,merge into: Juniper Square,,,,,,never,2026-08-13
001a700000Hsa6nAAB,Kabam,,Tiering deferred pending scope resolution,duplicate-record,"merge into: Kabam, Inc.",,,Netmarble Corp.,,,never,2026-08-13
0014y00002rShoBAAS,"Kabam Games, Inc",,Tiering deferred pending scope resolution,duplicate-record,"merge into: Kabam, Inc.",,,Netmarble Corp.,,,never,2026-08-13
0014y00002rSmpPAAS,Microcorp LLC,,Tiering deferred pending scope resolution,duplicate-record,merge into: AppDirect,,,AppDirect,,,never,2026-08-13
0014y00002dHpgWAAS,Mozilla Corporation,,Tiering deferred pending scope resolution,duplicate-record,merge into: Mozilla Foundation,,,Mozilla Foundation,,,never,2026-08-13
0014y00002rSmaZAAS,North American Title Company,,Tiering deferred pending scope resolution,duplicate-record,merge into: North American Title,,,Title Resources Group,,,never,2026-08-13
0014y00002ihL1DAAU,North American Title Company of Colorado,,Tiering deferred pending scope resolution,duplicate-record,merge into: North American Title,,,Title Resources Group,,,never,2026-08-13
0014y00002jRqD6AAK,"North American Title Company, Inc.",,Tiering deferred pending scope resolution,duplicate-record,merge into: North American Title,,,Title Resources Group,,,never,2026-08-13
001a7000003nh4UAAQ,North East Medical Services,,Tiering deferred pending scope resolution,duplicate-record,merge into: North East Medical Services,,,,,,never,2026-08-13
0014000000VAQCkAAP,"Proofpoint, Inc.",,Tiering deferred pending scope resolution,duplicate-record,merge into: Proofpoint,,,,,,lapsed,2026-08-13
001f300001v8k5mAAA,SRS Acquiom Inc.,,Tiering deferred pending scope resolution,duplicate-record,merge into: SRS Acquiom,,,,,,never,2026-08-13
0014y00002ih7s4AAA,Securonix,,Tiering deferred pending scope resolution,duplicate-record,merge into: Securonix,,,,,,never,2026-08-13
0014y00002lttiaAAA,VODACOM GROUP LTD,,"South Africa, Vodafone Group Plc. Non-viable duplicate of 001a700000L8URBAA3",routes-out,"Out of book, Southern Africa / Vodafone Group Plc",,,Vodafone Group Plc,,,never,2026-08-13
0014y00003QzArJAAV,"Vir Biotechnology, Inc.",,Tiering deferred pending scope resolution,duplicate-record,"merge into: Vir Biotechnology, Inc.",,,,,,never,2026-08-13
001f300001v8MK5AAM,"Wag Labs, Inc.",,Tiering deferred pending scope resolution,duplicate-record,merge into: Wag! Group Co.,,,Wag! Group Co.,,,never,2026-08-13
001a700000HOLd5AAH,Wag's,,Tiering deferred pending scope resolution,duplicate-record,merge into: Wag! Group Co.,,,Wag! Group Co.,,,never,2026-08-13
0014y0000257K9SAAU,Wiser Inc,,Tiering deferred pending scope resolution,duplicate-record,"merge into: Wiser Solutions, Inc.",,,"Wiser Solutions, Inc.",,,never,2026-08-13
0014y00002dHpxMAAS,"Wiser Solutions, Inc.",,Tiering deferred pending scope resolution,duplicate-record,"merge into: Wiser Solutions, Inc.",,,,,,never,2026-08-13
0014y00002p8tC4AAI,Workstream Inc.,,Tiering deferred pending scope resolution,duplicate-record,merge into: Workstream,,,,,,never,2026-08-13
001a700000KhNx8AAF,XYZ,,Tiering deferred pending scope resolution,duplicate-record,merge into: XYZ,,,,,,never,2026-08-13
001a700000HLr6BAAT,xyz,,Tiering deferred pending scope resolution,duplicate-record,merge into: XYZ,,,,,,never,2026-08-13
001a700000HLOQnAAP,xyz,,Tiering deferred pending scope resolution,duplicate-record,merge into: XYZ,,,,,,never,2026-08-13
001a700000CNE8JAAX,15Five,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0013300001lIywjAAC,6sense,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002vMkQDAA0,AIC Inc.,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0013300001ospn4AAA,ALOM,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002ih1QLAAY,Abnormal AI,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v8tZQAAY,Abode Services,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,Abode,,,never,2026-08-13
001a7000015pT55AAE,Academia.edu,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014000001Dd3P9AAJ,Accel,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002ihJe7AAE,Achievers LLC,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,Achievers Solutions Inc.,,,never,2026-08-13
0014y00002vMlJWAA0,AdColony,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,"Digital Turbine, Inc.",,,never,2026-08-13
001a7000015prerAAA,AdRoll,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,"NextRoll, Inc.",,,never,2026-08-13
0014y00002pC2K2AAK,Aehr Test Systems,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001whbquAAA,Affinity,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002rSgrTAAS,AiDASH,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002jRoyfAAC,Airship,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002WcFbDAAV,Airtable,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014000000VAMSMAA5,Alameda Alliance for Health,1,"Winback, lapsed membership on the account",in-book,,,,,,,lapsed,2026-08-13
0014y00002rSnfAAAS,"Alchemy Cloud, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0013300001osvjTAAQ,"Alert Enterprise, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002588xKAAQ,Algolia,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001a7000015psbOAAQ,Algonomy,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001a70000032ZQ8AAM,AllTrails,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0013300001osvDdAAI,"Allana Buick & Bers, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001whfhtAAA,Allbirds,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002jSU1NAAW,Alpaca,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,"AlpacaDB, Inc.",,,never,2026-08-13
001f300001v90goAAA,Alpine Investors,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014000000sIte6AAC,Altamont Capital Partners,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014000000Vt62KAAR,Amax,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,AMAX Engineering,,,never,2026-08-13
0014000000VALvTAAX,American Academy of Ophthalmology,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002rSeehAAC,Amoroso Construction,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,"SJ Amoroso Construction Co., LLC",,,never,2026-08-13
0014y00002ih7OTAAY,"Amplitude, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002rSj8zAAC,"Anchorage Digital, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,"Anchor Labs, Inc.",,,never,2026-08-13
0013300001ot5KZAAY,AngelList LLC,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,AL Advisors Management Inc.,,,never,2026-08-13
001f300001v8SiFAAU,AnitaB.org,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001a700000K4e10AAB,Antora Energy,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002l7RilAAE,AnyRoad,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001a7000015o3j1AAA,Anyscale,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0013300001ot50ZAAQ,Apartment List,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f3000022PdoFAAS,Apollo GraphQL,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,Apollo Graph Inc.,,,never,2026-08-13
0014y00002rON47AAG,AppDirect,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0013300001qPtEaAAK,AppsFlyer,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0013300001lNMaHAAW,Aria Systems,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y0000277IjLAAU,Arkose Labs,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001a7000015ogHbAAI,ArmorCode Inc.,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v8aR5AAI,Armory,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,Harness,,,never,2026-08-13
0014y00002rU9pOAAS,Ashby,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y0000276nAoAAI,Asi Computer Technologies Inc,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,ASI Corporation,,,never,2026-08-13
0014y00002raYdOAAU,Astra,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001a700000HIwBsAAL,Astranis Space Technologies,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014000000VAR7SAAX,Athens Administrators,1,"Winback, lapsed membership on the account",in-book,,,,,,,lapsed,2026-08-13
0014y00002rSlUXAA0,Augmedix,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,Commure,,,never,2026-08-13
0014y00002LxVEJAA3,Aurora Solar,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014000001DdFFiAAN,Azul,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,"Azul Systems, Inc.",,,never,2026-08-13
0013300001osxgLAAQ,B-Stock,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,"B-Stock Solutions, LLC",,,never,2026-08-13
0014y00002ih7LEAAY,BBAM,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0013300001qPtlEAAS,BCCI Construction,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,Global Infrastructure Solutions Inc.,,,never,2026-08-13
0013300001lNMllAAG,"Backblaze, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v95J4AAI,Bauer's Intelligent Transportation,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002ih7cKAAQ,Bay Alarm Company,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014000000WgaDGAAZ,Bay Area Community Health,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014000000VsDRPAA3,"Bay Cities Paving & Grading, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y0000255mmLAAQ,Benchling,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f3000022PdpxAAC,Beyond,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002VQIpkAAH,Birdeye,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002rSgmWAAS,Bista Solutions Inc,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001a7000015plLNAAY,Blackmagic Design,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002ih63FAAQ,"Blend Labs, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y0000258KyjAAE,Boku,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002p8d9kAAA,Booster,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001a700000K4o0iAAB,Branch,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001whZBFAA2,Branch International,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001wha4YAAQ,Brave,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,"Brave Software, Inc.",,,never,2026-08-13
0013300001oswPfAAI,Bridge Housing Corporation,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002jRqo3AAC,"Bridgebio Pharma, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001zvNJ5AAM,Bright Machines,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002U2quzAAB,BrightEdge,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,"BrightEdge Technologies, Inc.",,,never,2026-08-13
0014y00002eZcvTAAS,Brightline,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001a700000K4e1JAAR,Brightside Health,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v8MdzAAE,Brightwheel,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001zx4Z0AAI,Brilliant Corners,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001a7000003nbuKAAQ,Brilliant Earth,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0013300001lNNBlAAO,"Build Group, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v8KJXAA2,BuildZoom,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,Block Renovation,,,never,2026-08-13
001a700000LEgFFAA1,Burning Man Project,3,"Opp died. Release requested, Black Rock City LLC merges into this record",in-book,,,,,,,never,2026-08-13
0014000000ZqGPKAA3,Byer California,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,PAR Apparel Group,,,never,2026-08-13
0014y00002rSlLwAAK,Bynd LLC,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,Beyond,,,never,2026-08-13
0013300001qPwfYAAS,Cahill Contractors,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002ihODZAA2,Calbee America,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014000000pHL2RAAW,California Academy of Sciences,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
